date,revenue,customers,new_customers,channel,customer_id,ltv,cohort,attribution_source,journey_length,touchpoints
2024-01-01,15000,45,32,Google Ads,cust_0001,850,2024-01-W1,Brand Search,1,Google Ads
2024-01-01,12000,38,28,Facebook,cust_0002,650,2024-01-W1,Lookalike Campaign,2,Facebook->Google Ads
2024-01-01,8500,25,18,LinkedIn,cust_0003,1200,2024-01-W1,B2B Targeting,1,LinkedIn
2024-01-01,3200,12,8,TikTok,cust_0004,450,2024-01-W1,Gen Z Campaign,3,TikTok->Facebook->Google Ads
2024-01-02,14500,42,30,Google Ads,cust_0005,820,2024-01-W1,Brand Search,1,Google Ads
2024-01-02,13200,40,29,Facebook,cust_0006,680,2024-01-W1,Interest Targeting,2,Facebook->LinkedIn
2024-01-02,7800,22,16,LinkedIn,cust_0007,1150,2024-01-W1,Industry Targeting,1,LinkedIn
2024-01-02,4100,15,11,TikTok,cust_0008,480,2024-01-W1,Trending Campaign,1,TikTok
2024-01-03,16200,48,34,Google Ads,cust_0009,870,2024-01-W1,Competitor Keywords,2,Google Ads->Facebook
2024-01-03,14800,44,31,Facebook,cust_0010,710,2024-01-W1,Video Campaign,1,Facebook
2024-01-03,9200,28,20,LinkedIn,cust_0011,1100,2024-01-W1,Job Title Targeting,3,LinkedIn->Google Ads->Facebook
2024-01-03,5200,18,13,TikTok,cust_0012,520,2024-01-W1,Viral Content,2,TikTok->Facebook
2024-01-15,22000,65,48,Google Ads,cust_0013,1100,2024-01-W3,Black Friday Sale,1,Google Ads
2024-01-15,19600,58,42,Facebook,cust_0014,900,2024-01-W3,Black Friday Video,1,Facebook
2024-01-15,13200,38,28,LinkedIn,cust_0015,1400,2024-01-W3,Holiday Promotion,2,LinkedIn->Google Ads
2024-01-15,7800,28,20,TikTok,cust_0016,600,2024-01-W3,Holiday Trends,1,TikTok
2024-02-01,15800,47,34,Google Ads,cust_0017,890,2024-02-W1,Brand Search,1,Google Ads
2024-02-01,11200,37,27,Facebook,cust_0018,710,2024-02-W1,Lookalike Campaign,1,Facebook
2024-02-01,7900,24,17,LinkedIn,cust_0019,1150,2024-02-W1,B2B Targeting,1,LinkedIn
2024-02-01,4800,18,13,TikTok,cust_0020,460,2024-02-W1,Winter Campaign,2,TikTok->Google Ads
2024-02-14,18500,55,40,Google Ads,cust_0021,950,2024-02-W2,Valentine Sale,1,Google Ads
2024-02-14,16200,48,35,Facebook,cust_0022,780,2024-02-W2,Valentine Video,1,Facebook
2024-02-14,10600,31,23,LinkedIn,cust_0023,1260,2024-02-W2,Valentine B2B,1,LinkedIn
