customer_id,acquisition_date,acquisition_channel,acquisition_campaign,first_purchase_value,customer_segment,acquisition_cac,predicted_ltv
cust_1708879609382_googleads_0,2024-02-25,Google Ads,Search - Generic,148.92,Low Value,67,362.92
cust_1708879609382_googleads_1,2024-02-25,Google Ads,Search - Generic,117.26,High Value,67,489.43
cust_1708879609382_googleads_2,2024-02-25,Google Ads,Search - Generic,125.44,SMB,67,342.15
cust_1708879609382_googleads_0,2024-02-25,Google Ads,Display - Remarketing,335.38,Medium Value,79.67,437.46
cust_1708879609382_googleads_1,2024-02-25,Google Ads,Display - Remarketing,316.74,Medium Value,79.67,451.56
cust_1708879609382_googleads_2,2024-02-25,Google Ads,Display - Remarketing,214.28,Low Value,79.67,454.02
cust_1708879609382_googleads_0,2024-02-25,Google Ads,Search - Generic,228.4,Low Value,61,990.29
cust_1708879609382_googleads_1,2024-02-25,Google Ads,Search - Generic,318.86,Low Value,61,529.76
cust_1708879609382_googleads_2,2024-02-25,Google Ads,Search - Generic,376.09,Medium Value,61,915.9
cust_1708879609382_googleads_3,2024-02-25,Google Ads,Search - Generic,335.73,Low Value,61,876.67
cust_1708879609382_googleads_4,2024-02-25,Google Ads,Search - Generic,293.73,SMB,61,692.3
cust_1708879609382_googleads_5,2024-02-25,Google Ads,Search - Generic,316.13,High Value,61,1074.21
cust_1708879609382_facebook_0,2024-02-25,Facebook,Conversions,186.6,SMB,112,622.34
cust_1708879609382_facebook_1,2024-02-25,Facebook,Conversions,236.79,High Value,112,644.45
cust_1708879609382_facebook_0,2024-02-25,Facebook,Traffic,227.69,SMB,142,710.58
cust_1708879609382_facebook_1,2024-02-25,Facebook,Traffic,217.88,SMB,142,385.51
cust_1708879609382_linkedin_0,2024-02-25,LinkedIn,Dynamic Ads,263.49,High Value,262,841.78
cust_1708879609382_linkedin_0,2024-02-25,LinkedIn,Dynamic Ads,341.05,SMB,234,1029.43
cust_1708879609382_tiktok_0,2024-02-25,TikTok,App Install,240.8,Low Value,86.5,850.97
cust_1708879609382_tiktok_1,2024-02-25,TikTok,App Install,306.44,Medium Value,86.5,894.85
cust_1708879609382_tiktok_0,2024-02-25,TikTok,Video Views,239.91,Enterprise,65,748.13
cust_1708879609382_tiktok_1,2024-02-25,TikTok,Video Views,381.43,Medium Value,65,716.24
cust_1708879609382_pinterest_0,2024-02-25,Pinterest,App Install,362.34,Low Value,86,436.52
cust_1708879609382_pinterest_0,2024-02-25,Pinterest,Traffic,160.96,Low Value,115,349.13
cust_1708966009382_googleads_0,2024-02-26,Google Ads,Display - Remarketing,176.72,High Value,69.17,815.09
cust_1708966009382_googleads_1,2024-02-26,Google Ads,Display - Remarketing,237.42,SMB,69.17,387.75
cust_1708966009382_googleads_2,2024-02-26,Google Ads,Display - Remarketing,210.21,Medium Value,69.17,466
cust_1708966009382_googleads_3,2024-02-26,Google Ads,Display - Remarketing,271.83,Low Value,69.17,575.17
cust_1708966009382_googleads_4,2024-02-26,Google Ads,Display - Remarketing,245.37,Medium Value,69.17,435.85
cust_1708966009382_googleads_5,2024-02-26,Google Ads,Display - Remarketing,282.59,SMB,69.17,657.52
cust_1708966009382_googleads_0,2024-02-26,Google Ads,Display - Remarketing,160.98,Low Value,95.2,481.75
cust_1708966009382_googleads_1,2024-02-26,Google Ads,Display - Remarketing,233.67,High Value,95.2,714.12
cust_1708966009382_googleads_2,2024-02-26,Google Ads,Display - Remarketing,164.05,Medium Value,95.2,635.73
cust_1708966009382_googleads_3,2024-02-26,Google Ads,Display - Remarketing,253.54,Medium Value,95.2,629.85
cust_1708966009382_googleads_4,2024-02-26,Google Ads,Display - Remarketing,225.92,Low Value,95.2,493.93
cust_1708966009382_googleads_0,2024-02-26,Google Ads,Display - Remarketing,192.74,Medium Value,71.88,578.01
cust_1708966009382_googleads_1,2024-02-26,Google Ads,Display - Remarketing,152.69,SMB,71.88,585.88
cust_1708966009382_googleads_2,2024-02-26,Google Ads,Display - Remarketing,209.74,Medium Value,71.88,562.56
