date,channel,spend,campaign
2023-07-01,Google Ads,2500,Brand Search
2023-07-01,Facebook,1800,Lookalike Campaign
2023-07-01,LinkedIn,1200,B2B Targeting
2023-07-02,Google Ads,2300,Brand Search
2023-07-02,Facebook,1900,Interest Targeting
2023-07-02,LinkedIn,1100,Industry Targeting
2023-07-03,Google Ads,2600,Competitor Keywords
2023-07-03,Facebook,2100,Video Campaign
2023-07-03,LinkedIn,1400,Job Title Targeting
2023-07-04,Google Ads,2400,Brand Search
2023-07-04,Facebook,1700,Retargeting
2023-07-04,LinkedIn,1300,Company Targeting
2023-07-05,Google Ads,2800,Generic Keywords
2023-07-05,Facebook,2000,Cold Outreach
2023-07-05,LinkedIn,1500,Content Promotion
2023-07-06,Google Ads,2200,Brand Search
2023-07-06,Facebook,1600,Event Promotion
2023-07-06,LinkedIn,1000,Webinar Ads
2023-07-07,Google Ads,2700,Shopping Ads
2023-07-07,Facebook,2200,App Install
2023-07-07,LinkedIn,1600,Lead Gen Forms
2023-07-08,Google Ads,2400,Brand Search
2023-07-08,Facebook,1850,Lookalike Campaign
2023-07-08,LinkedIn,1250,Industry Targeting
2023-07-09,Google Ads,2550,Competitor Keywords
2023-07-09,Facebook,1950,Interest Targeting
2023-07-09,LinkedIn,1350,B2B Targeting
2023-07-10,Google Ads,2650,Generic Keywords
2023-07-10,Facebook,2050,Video Campaign
2023-07-10,LinkedIn,1450,Job Title Targeting
2023-07-11,Google Ads,2350,Brand Search
2023-07-11,Facebook,1750,Retargeting
2023-07-11,LinkedIn,1150,Company Targeting
2023-07-12,Google Ads,2750,Shopping Ads
2023-07-12,Facebook,2150,Cold Outreach
2023-07-12,LinkedIn,1550,Content Promotion
2023-07-13,Google Ads,2450,Brand Search
2023-07-13,Facebook,1650,Event Promotion
2023-07-13,LinkedIn,1050,Webinar Ads
2023-07-14,Google Ads,2850,Competitor Keywords
2023-07-14,Facebook,2250,App Install
2023-07-14,LinkedIn,1650,Lead Gen Forms
2023-07-15,Google Ads,2500,Generic Keywords
2023-07-15,Facebook,1800,Lookalike Campaign
2023-07-15,LinkedIn,1200,Industry Targeting
2023-07-16,Google Ads,2600,Brand Search
2023-07-16,Facebook,2000,Interest Targeting
2023-07-16,LinkedIn,1400,B2B Targeting
2023-07-17,Google Ads,2700,Shopping Ads
2023-07-17,Facebook,2100,Video Campaign
2023-07-17,LinkedIn,1500,Job Title Targeting
2023-07-18,Google Ads,2300,Brand Search
2023-07-18,Facebook,1700,Retargeting
2023-07-18,LinkedIn,1100,Company Targeting
2023-07-19,Google Ads,2800,Competitor Keywords
2023-07-19,Facebook,2200,Cold Outreach
2023-07-19,LinkedIn,1600,Content Promotion
2023-07-20,Google Ads,2400,Generic Keywords
2023-07-20,Facebook,1600,Event Promotion
2023-07-20,LinkedIn,1000,Webinar Ads
2023-07-21,Google Ads,2900,Brand Search
2023-07-21,Facebook,2300,App Install
2023-07-21,LinkedIn,1700,Lead Gen Forms
2023-07-22,Google Ads,2550,Shopping Ads
2023-07-22,Facebook,1850,Lookalike Campaign
2023-07-22,LinkedIn,1250,Industry Targeting
2023-07-23,Google Ads,2650,Competitor Keywords
2023-07-23,Facebook,1950,Interest Targeting
2023-07-23,LinkedIn,1350,B2B Targeting
2023-07-24,Google Ads,2750,Generic Keywords
2023-07-24,Facebook,2050,Video Campaign
2023-07-24,LinkedIn,1450,Job Title Targeting
2023-07-25,Google Ads,2450,Brand Search
2023-07-25,Facebook,1750,Retargeting
2023-07-25,LinkedIn,1150,Company Targeting
2023-07-26,Google Ads,2950,Shopping Ads
2023-07-26,Facebook,2350,Cold Outreach
2023-07-26,LinkedIn,1750,Content Promotion
2023-07-27,Google Ads,2500,Competitor Keywords
2023-07-27,Facebook,1800,Event Promotion
2023-07-27,LinkedIn,1200,Webinar Ads
2023-07-28,Google Ads,2600,Generic Keywords
2023-07-28,Facebook,2000,App Install
2023-07-28,LinkedIn,1400,Lead Gen Forms
2023-07-29,Google Ads,2700,Brand Search
2023-07-29,Facebook,2100,Lookalike Campaign
2023-07-29,LinkedIn,1500,Industry Targeting
2023-07-30,Google Ads,2800,Shopping Ads
2023-07-30,Facebook,2200,Interest Targeting
2023-07-30,LinkedIn,1600,B2B Targeting
2023-07-31,Google Ads,2400,Competitor Keywords
2023-07-31,Facebook,1700,Video Campaign
2023-07-31,LinkedIn,1100,Job Title Targeting
2023-08-01,Google Ads,2650,Brand Search
2023-08-01,Facebook,1950,Retargeting
2023-08-01,LinkedIn,1350,Company Targeting
2023-08-02,Google Ads,2750,Generic Keywords
2023-08-02,Facebook,2050,Cold Outreach
2023-08-02,LinkedIn,1450,Content Promotion
2023-08-03,Google Ads,2550,Shopping Ads
2023-08-03,Facebook,1850,Event Promotion
2023-08-03,LinkedIn,1250,Webinar Ads
2023-08-04,Google Ads,2850,Competitor Keywords
2023-08-04,Facebook,2250,App Install
2023-08-04,LinkedIn,1650,Lead Gen Forms
2023-08-05,Google Ads,2450,Brand Search
2023-08-05,Facebook,1750,Lookalike Campaign
2023-08-05,LinkedIn,1150,Industry Targeting
2023-08-06,Google Ads,2950,Generic Keywords
2023-08-06,Facebook,2350,Interest Targeting
2023-08-06,LinkedIn,1750,B2B Targeting
2023-08-07,Google Ads,2500,Shopping Ads
2023-08-07,Facebook,1800,Video Campaign
2023-08-07,LinkedIn,1200,Job Title Targeting
2023-08-08,Google Ads,2600,Competitor Keywords
2023-08-08,Facebook,2000,Retargeting
2023-08-08,LinkedIn,1400,Company Targeting
2023-08-09,Google Ads,2700,Brand Search
