date,channel,campaign_name,spend,clicks,customers,conversions,ctr,cvr,cpc,impressions,creative_id,creative_type,ad_name
2025-05-26,Google Ads,Search - Brand,616,184,6,6,2.45,3.26,3.34,7501,googleads_search_-_brand_carousel_54,Carousel,Search - Brand - Carousel 1
2025-05-26,Google Ads,Search - Generic,742,235,9,9,2.25,3.83,3.15,10452,googleads_search_-_generic_image_8,Image,Search - Generic - Image 2
2025-05-26,Facebook,Conversions,186,56,1,1,1.12,1.79,3.35,5009,facebook_conversions_collection_21,Collection,Conversions - Collection 1
2025-05-26,Facebook,Lead Generation,221,67,1,1,0.92,1.49,3.29,7281,facebook_lead_generation_collection_90,Collection,Lead Generation - Collection 2
2025-05-26,Facebook,Remarketing,240,69,2,2,1.31,2.9,3.46,5284,,,
2025-05-26,LinkedIn,Event Ads,297,38,2,2,0.69,5.26,7.76,5479,linkedin_event_ads_image_48,Image,Event Ads - Image 1
2025-05-26,LinkedIn,Text Ads,186,19,1,1,0.67,5.26,9.54,2817,,,
2025-05-26,LinkedIn,Dynamic Ads,224,20,1,1,0.91,5,10.95,2198,linkedin_dynamic_ads_video_14,Video,Dynamic Ads - Video 3
2025-05-26,TikTok,App Install,123,80,1,1,2.47,1.25,1.55,3239,tiktok_app_install_collection_81,Collection,App Install - Collection 1
2025-05-26,TikTok,Conversions,69,43,1,1,3.02,2.33,1.61,1422,tiktok_conversions_text_65,Text,Conversions - Text 2
2025-05-26,TikTok,Conversions,93,72,1,1,2.76,1.39,1.29,2613,tiktok_conversions_image_62,Image,Conversions - Image 3
2025-05-26,TikTok,Conversions,117,84,2,2,2.82,2.38,1.4,2974,tiktok_conversions_collection_27,Collection,Conversions - Collection 4
2025-05-26,Pinterest,Brand Awareness,98,47,1,1,1.53,2.13,2.09,,pinterest_brand_awareness_video_77,Video,Brand Awareness - Video 1
2025-05-26,Pinterest,App Install,64,31,1,1,1.39,3.23,2.08,2236,pinterest_app_install_video_73,Video,App Install - Video 2
2025-05-26,Pinterest,App Install,118,75,2,2,1.27,2.67,1.56,5906,pinterest_app_install_image_88,Image,App Install - Image 3
2025-05-27,Google Ads,Search - Brand,786,265,9,9,2.23,3.4,2.97,11865,googleads_search_-_brand_carousel_37,Carousel,Search - Brand - Carousel 1
2025-05-27,Google Ads,Search - Generic,494,180,6,6,1.91,3.33,2.75,9412,,,
2025-05-27,Facebook,Remarketing,193,77,1,1,1.37,1.3,2.52,5619,facebook_remarketing_video_30,Video,Remarketing - Video 1
2025-05-27,Facebook,Video Views,229,82,2,2,1.37,2.44,2.79,,facebook_video_views_collection_9,Collection,Video Views - Collection 2
2025-05-27,Facebook,Traffic,199,60,2,2,1.14,3.33,3.34,5278,facebook_traffic_video_65,Video,Traffic - Video 3
2025-05-27,LinkedIn,Event Ads,401,41,2,2,0.84,4.88,9.76,4896,linkedin_event_ads_image_13,Image,Event Ads - Image 1
2025-05-27,LinkedIn,Text Ads,358,47,2,2,0.81,4.26,7.69,5805,linkedin_text_ads_carousel_52,Carousel,Text Ads - Carousel 2
2025-05-27,TikTok,Reach,159,89,2,2,2.89,2.25,1.78,3081,tiktok_reach_video_20,Video,Reach - Video 1
2025-05-27,TikTok,Reach,179,130,3,3,2.38,2.31,1.38,5460,tiktok_reach_collection_94,Collection,Reach - Collection 2
2025-05-27,Pinterest,Traffic,137,65,1,1,1.62,1.54,2.09,4024,pinterest_traffic_text_89,Text,Traffic - Text 1
2025-05-27,Pinterest,App Install,152,84,2,2,1.18,2.38,1.81,,,,
2025-05-28,Google Ads,Shopping,449,118,5,5,1.85,4.24,3.8,6377,googleads_shopping_carousel_62,Carousel,Shopping - Carousel 1
2025-05-28,Google Ads,Display - Remarketing,569,191,7,7,1.85,3.66,2.98,,,,
2025-05-28,Facebook,Video Views,176,69,1,1,1.13,1.45,2.56,6093,,,
2025-05-28,Facebook,Remarketing,201,64,1,1,1.11,1.56,3.15,5776,facebook_remarketing_carousel_12,Carousel,Remarketing - Carousel 2
2025-05-28,Facebook,Traffic,211,73,2,2,1.03,2.74,2.9,7063,,,
2025-05-28,LinkedIn,Sponsored Content,417,49,2,2,0.67,4.08,8.57,7278,linkedin_sponsored_content_carousel_55,Carousel,Sponsored Content - Carousel 1
2025-05-28,LinkedIn,Sponsored Content,329,43,2,2,0.71,4.65,7.68,6071,linkedin_sponsored_content_collection_78,Collection,Sponsored Content - Collection 2
2025-05-28,TikTok,Video Views,269,168,3,3,3.44,1.79,1.6,4880,tiktok_video_views_collection_42,Collection,Video Views - Collection 1
2025-05-28,TikTok,Conversions,272,190,4,4,3.32,2.11,1.43,5728,tiktok_conversions_image_95,Image,Conversions - Image 2
2025-05-28,Pinterest,Brand Awareness,63,30,1,1,1.26,3.33,2.1,2379,pinterest_brand_awareness_text_51,Text,Brand Awareness - Text 1
2025-05-28,Pinterest,App Install,62,28,0,0,1.31,0,2.24,2131,pinterest_app_install_video_36,Video,App Install - Video 2
2025-05-28,Pinterest,Conversions,103,58,1,1,1.68,1.72,1.76,3454,,,
2025-05-28,Pinterest,Brand Awareness,49,19,0,0,1.29,0,2.54,1475,pinterest_brand_awareness_text_58,Text,Brand Awareness - Text 4
