date,channel,campaign_name,customers,new_customers,revenue,roas,avg_order_value,ltv
2024-02-25,Google Ads,Search - Generic,3,3,455,2.26,157.93,394.83
2024-02-25,Google Ads,Display - Remarketing,3,3,751,3.14,278.49,696.23
2024-02-25,Google Ads,Search - Generic,6,6,1545,4.22,316.73,791.83
2024-02-25,Facebook,Conversions,2,2,354,1.58,197.6,494.01
2024-02-25,LinkedIn,Dynamic Ads,1,1,286,1.09,293.46,733.64
2024-02-25,TikTok,App Install,2,2,452,2.61,261.12,652.8
2024-02-25,TikTok,Video Views,2,2,759,5.84,318.7,796.75
2024-02-25,Pinterest,App Install,1,1,281,3.27,280.58,701.44
2024-02-26,Google Ads,Display - Remarketing,6,6,1611,3.88,251.64,629.09
2024-02-26,Google Ads,Display - Remarketing,5,5,1127,2.37,207.1,517.74
2024-02-26,Google Ads,Display - Remarketing,8,8,1497,2.6,187.33,468.33
2024-02-26,Facebook,Conversions,3,3,459,1.21,163.62,409.05
2024-02-26,Facebook,Traffic,3,3,686,1.65,209.43,523.57
2024-02-26,LinkedIn,Sponsored Content,2,2,441,1.72,208.97,522.43
2024-02-26,LinkedIn,Sponsored Content,2,2,361,1.39,202.66,506.66
2024-02-26,LinkedIn,Sponsored Content,1,1,160,0.71,137.58,343.94
2024-02-26,LinkedIn,Text Ads,1,1,192,1.2,210.68,526.7
2024-02-26,TikTok,App Install,2,2,560,3.2,314.48,786.2
2024-02-26,TikTok,Traffic,2,2,335,2.29,161.09,402.72
2024-02-26,Pinterest,Traffic,1,1,164,1.89,154.3,385.75
2024-02-26,Pinterest,App Install,1,1,126,1.14,134.26,335.64
2024-02-26,Pinterest,Conversions,1,1,346,4.38,296.56,741.4
2024-02-27,Google Ads,Search - Generic,3,3,745,1.91,264.94,662.35
2024-02-27,Google Ads,Search - Generic,6,6,979,2.03,193.95,484.87
2024-02-27,Google Ads,Video - YouTube,7,7,1096,2.63,160.15,400.39
2024-02-27,Facebook,Traffic,3,3,432,0.83,154.71,386.78
2024-02-27,Facebook,Traffic,7,7,1296,2.13,163.24,408.1
2024-02-27,LinkedIn,Event Ads,2,2,279,0.73,168.88,422.21
2024-02-27,LinkedIn,Dynamic Ads,4,4,705,1.41,194.83,487.09
2024-02-27,TikTok,Conversions,3,3,754,3.31,210.37,525.92
2024-02-27,TikTok,Reach,5,5,1275,4.77,241.71,604.29
2024-02-27,Pinterest,Conversions,1,1,359,2.27,301.71,754.26
2024-02-27,Pinterest,Traffic,1,1,272,1.63,285.46,713.65
2024-02-27,Pinterest,Conversions,1,1,140,1.25,159.61,399.03
2024-02-28,Google Ads,Video - YouTube,5,5,847,2.72,184.54,461.36
2024-02-28,Google Ads,Video - YouTube,3,3,683,1.95,195.23,488.07
2024-02-28,Google Ads,Display - Remarketing,4,4,979,2.67,234.59,586.46
2024-02-28,Google Ads,Shopping,4,4,774,2.89,215.5,538.74
2024-02-28,Facebook,Conversions,2,2,270,1.1,136.62,341.54
2024-02-28,Facebook,Conversions,4,4,796,2.31,207.68,519.21
2024-02-28,Facebook,Lead Generation,4,4,1161,3.04,269.46,673.64
2024-02-28,LinkedIn,Sponsored Content,2,2,250,0.53,130.45,326.12
2024-02-28,LinkedIn,Sponsored Content,2,2,424,1.19,213.98,534.96
2024-02-28,TikTok,Traffic,3,3,981,4.23,296.73,741.82
2024-02-28,TikTok,Traffic,4,4,985,4.09,250.65,626.61
2024-02-28,Pinterest,Conversions,1,1,256,1.82,302.79,756.98
2024-02-28,Pinterest,App Install,1,1,126,1.39,133.9,334.76
2024-02-29,Google Ads,Search - Generic,8,8,2522,4.96,269.58,673.96
2024-02-29,Google Ads,Display - Remarketing,3,3,689,1.8,279.38,698.44
2024-02-29,Google Ads,Shopping,6,6,1616,3.28,271.34,678.34
2024-02-29,Google Ads,Search - Generic,4,4,535,1.28,141.38,353.44
2024-02-29,Facebook,Traffic,4,4,1027,3,228.04,570.1
2024-02-29,Facebook,Remarketing,1,1,159,0.68,147.37,368.43
2024-02-29,Facebook,Traffic,3,3,710,2.79,273.03,682.59
2024-02-29,LinkedIn,Dynamic Ads,1,1,241,1.27,208.82,522.05
2024-02-29,LinkedIn,Event Ads,2,2,437,1.47,232.98,582.44
2024-02-29,LinkedIn,Text Ads,2,2,416,1.66,195.37,488.42
2024-02-29,TikTok,Video Views,2,2,557,6.19,248.19,620.47
2024-02-29,TikTok,Conversions,2,2,224,1.97,136.54,341.35
2024-02-29,TikTok,App Install,2,2,267,1.87,124.69,311.72
2024-02-29,TikTok,Conversions,1,1,113,1.13,135.48,338.69
2024-02-29,Pinterest,Conversions,1,1,120,1.5,149.65,374.13
2024-02-29,Pinterest,Brand Awareness,1,1,253,1.9,221.06,552.65
2024-02-29,Pinterest,Conversions,1,1,225,3.52,273.9,684.76
2024-03-01,Google Ads,Display - Remarketing,8,8,2573,3.84,290.1,725.24
2024-03-01,Google Ads,Search - Generic,4,4,946,2.24,240.18,600.45
2024-03-01,Google Ads,Display - Remarketing,5,5,862,1.98,158.96,397.41
2024-03-01,Facebook,Traffic,4,4,1169,4.22,243.73,609.32
2024-03-01,Facebook,Remarketing,3,3,473,1.64,176.05,440.13
2024-03-01,Facebook,Remarketing,2,2,592,2.44,247.85,619.63
2024-03-01,LinkedIn,Message Ads,1,1,167,0.68,140.4,350.99
2024-03-01,LinkedIn,Event Ads,1,1,123,0.44,135.32,338.29
2024-03-01,LinkedIn,Event Ads,2,2,465,1.68,263.65,659.12
2024-03-01,TikTok,Traffic,2,2,317,2.94,187.82,469.54
2024-03-01,TikTok,Conversions,3,3,592,4.55,210.22,525.56
2024-03-01,TikTok,Reach,2,2,707,6.09,309.31,773.27
2024-03-01,TikTok,Conversions,1,1,199,2.01,177.28,443.2
2024-03-01,Pinterest,Brand Awareness,2,2,480,2.22,259.89,649.72
2024-03-01,Pinterest,Brand Awareness,2,2,518,3.3,301.61,754.02
2024-03-02,Google Ads,Search - Generic,3,3,327,1.38,132.21,330.54
2024-03-02,Google Ads,Shopping,3,3,774,2.71,288.49,721.22
2024-03-02,Google Ads,Shopping,3,3,829,2.74,259.92,649.79
2024-03-02,Google Ads,Shopping,3,3,550,1.75,169.35,423.38
2024-03-02,Facebook,Lead Generation,2,2,543,2.67,278.66,696.65
2024-03-02,Facebook,Video Views,2,2,462,1.99,207.87,519.67
2024-03-02,Facebook,Video Views,2,2,264,1,145.82,364.54
2024-03-02,LinkedIn,Text Ads,1,1,216,1.47,216.55,541.38
2024-03-02,LinkedIn,Text Ads,1,1,273,1.67,297.69,744.23
2024-03-02,LinkedIn,Text Ads,1,1,172,1.52,145.99,364.97
2024-03-02,LinkedIn,Sponsored Content,1,1,237,1.54,226.48,566.2
2024-03-02,TikTok,Reach,1,1,180,2.05,179.09,447.72
2024-03-02,Pinterest,Traffic,1,1,115,0.86,121.18,302.95
2024-03-02,Pinterest,Video Views,1,1,203,1.99,210.97,527.43
2024-03-03,Google Ads,Video - YouTube,3,3,746,2.67,215.31,538.27
2024-03-03,Google Ads,Search - Generic,3,3,788,3.54,315.2,788
2024-03-03,Google Ads,Shopping,4,4,767,2.83,229.24,573.1
2024-03-03,Google Ads,Shopping,2,2,408,1.64,228.25,570.62
2024-03-03,Facebook,Traffic,2,2,527,2.37,312.57,781.41
2024-03-03,Facebook,Lead Generation,2,2,691,3.03,290.01,725.02
2024-03-03,Facebook,Traffic,1,1,129,0.75,124.76,311.9
