date,channel,campaign_name,spend,clicks,customers,conversions,ctr,cvr,cpc,impressions,creative_id,creative_type,ad_name
2024-02-25,Google Ads,Search - Generic,201,57,3,3,1.99,5.26,3.55,2863,googleads_search_-_generic_text_67,Text,Search - Generic - Text 1
2024-02-25,Google Ads,Display - Remarketing,239,66,3,3,2.22,4.55,3.64,2975,googleads_display_-_remarketing_collection_29,Collection,Display - Remarketing - Collection 2
2024-02-25,Google Ads,Search - Generic,366,138,6,6,2.35,4.35,2.66,5880,,,
2024-02-25,Facebook,Conversions,224,66,2,2,0.92,3.03,3.41,7185,facebook_conversions_carousel_26,Carousel,Conversions - Carousel 1
2024-02-25,Facebook,Traffic,284,100,2,2,1.28,2,2.83,,facebook_traffic_text_23,Text,Traffic - Text 2
2024-02-25,LinkedIn,Dynamic Ads,262,31,1,1,0.88,3.23,8.47,3503,linkedin_dynamic_ads_video_9,Video,Dynamic Ads - Video 1
2024-02-25,LinkedIn,Dynamic Ads,234,20,1,1,0.94,5,11.8,2134,linkedin_dynamic_ads_image_42,Image,Dynamic Ads - Image 2
2024-02-25,TikTok,App Install,173,123,2,2,2.86,1.63,1.41,4303,tiktok_app_install_video_62,Video,App Install - Video 1
2024-02-25,TikTok,Video Views,130,96,2,2,3.21,2.08,1.35,2994,,,
2024-02-25,Pinterest,App Install,86,37,1,1,1.55,2.7,2.3,,pinterest_app_install_text_27,Text,App Install - Text 1
2024-02-25,Pinterest,Traffic,115,51,1,1,1.25,1.96,2.27,4080,pinterest_traffic_video_97,Video,Traffic - Video 2
2024-02-26,Google Ads,Display - Remarketing,415,132,6,6,2.64,4.55,3.13,4993,googleads_display_-_remarketing_video_63,Video,Display - Remarketing - Video 1
2024-02-26,Google Ads,Display - Remarketing,476,141,5,5,2.26,3.55,3.38,,googleads_display_-_remarketing_video_17,Video,Display - Remarketing - Video 2
2024-02-26,Google Ads,Display - Remarketing,575,176,8,8,1.95,4.55,3.26,,,,
2024-02-26,Facebook,Conversions,379,119,3,3,1.04,2.52,3.19,,,,
2024-02-26,Facebook,Traffic,417,160,3,3,1.36,1.88,2.6,11787,facebook_traffic_video_64,Video,Traffic - Video 2
2024-02-26,LinkedIn,Sponsored Content,256,30,2,2,0.94,6.67,8.57,3183,,,
2024-02-26,LinkedIn,Sponsored Content,260,39,2,2,0.96,5.13,6.73,4068,linkedin_sponsored_content_collection_39,Collection,Sponsored Content - Collection 2
2024-02-26,LinkedIn,Sponsored Content,225,28,1,1,0.97,3.57,8.07,2886,,,
2024-02-26,LinkedIn,Text Ads,160,21,1,1,0.86,4.76,7.55,2445,,,
2024-02-26,TikTok,Conversions,140,93,1,1,3.16,1.08,1.5,2942,tiktok_conversions_image_62,Image,Conversions - Image 1
2024-02-26,TikTok,App Install,175,135,2,2,2.66,1.48,1.3,5079,tiktok_app_install_text_62,Text,App Install - Text 2
2024-02-26,TikTok,Traffic,146,112,2,2,2.52,1.79,1.31,4450,tiktok_traffic_image_99,Image,Traffic - Image 3
2024-02-26,Pinterest,Traffic,87,51,1,1,1.22,1.96,1.72,4170,pinterest_traffic_video_60,Video,Traffic - Video 1
2024-02-26,Pinterest,App Install,111,49,1,1,1.31,2.04,2.25,3744,pinterest_app_install_text_56,Text,App Install - Text 2
2024-02-26,Pinterest,Conversions,79,37,1,1,1.69,2.7,2.15,2184,pinterest_conversions_collection_76,Collection,Conversions - Collection 3
2024-02-27,Google Ads,Search - Generic,389,100,3,3,2.06,3,3.9,4853,googleads_search_-_generic_text_26,Text,Search - Generic - Text 1
2024-02-27,Google Ads,Search - Generic,482,149,6,6,2.16,4.03,3.24,6910,googleads_search_-_generic_text_8,Text,Search - Generic - Text 2
2024-02-27,Google Ads,Video - YouTube,417,156,7,7,1.96,4.49,2.68,7945,googleads_video_-_youtube_image_1,Image,Video - YouTube - Image 3
2024-02-27,Facebook,Traffic,520,194,3,3,0.95,1.55,2.68,20520,facebook_traffic_text_22,Text,Traffic - Text 1
2024-02-27,Facebook,Traffic,610,245,7,7,1.33,2.86,2.49,18466,,,
2024-02-27,LinkedIn,Event Ads,382,41,2,2,0.7,4.88,9.39,5859,linkedin_event_ads_text_22,Text,Event Ads - Text 1
2024-02-27,LinkedIn,Dynamic Ads,499,79,4,4,0.68,5.06,6.35,11566,,,
2024-02-27,TikTok,Conversions,228,164,3,3,2.51,1.83,1.39,6544,tiktok_conversions_carousel_4,Carousel,Conversions - Carousel 1
2024-02-27,TikTok,Reach,267,205,5,5,3.15,2.44,1.3,,tiktok_reach_collection_76,Collection,Reach - Collection 2
2024-02-27,Pinterest,Conversions,158,83,1,1,1.27,1.2,1.9,6537,pinterest_conversions_video_75,Video,Conversions - Video 1
2024-02-27,Pinterest,Traffic,167,90,1,1,1.26,1.11,1.85,7115,pinterest_traffic_video_46,Video,Traffic - Video 2
2024-02-27,Pinterest,Conversions,112,59,1,1,1.53,1.69,1.9,3846,pinterest_conversions_text_5,Text,Conversions - Text 3
2024-02-28,Google Ads,Video - YouTube,311,115,5,5,1.92,4.35,2.71,5990,googleads_video_-_youtube_collection_83,Collection,Video - YouTube - Collection 1
2024-02-28,Google Ads,Video - YouTube,351,101,3,3,2.08,2.97,3.48,4867,googleads_video_-_youtube_collection_84,Collection,Video - YouTube - Collection 2
2024-02-28,Google Ads,Display - Remarketing,366,110,4,4,1.99,3.64,3.32,,googleads_display_-_remarketing_collection_49,Collection,Display - Remarketing - Collection 3
2024-02-28,Google Ads,Shopping,268,91,4,4,1.96,4.4,2.95,4634,googleads_shopping_collection_88,Collection,Shopping - Collection 4
2024-02-28,Facebook,Conversions,244,81,2,2,1.25,2.47,3,6480,,,
2024-02-28,Facebook,Conversions,345,128,4,4,0.96,3.13,2.7,13383,facebook_conversions_carousel_17,Carousel,Conversions - Carousel 2
2024-02-28,Facebook,Lead Generation,382,140,4,4,0.95,2.86,2.72,14731,,,
2024-02-28,LinkedIn,Sponsored Content,468,53,2,2,0.89,3.77,8.86,5930,linkedin_sponsored_content_image_63,Image,Sponsored Content - Image 1
2024-02-28,LinkedIn,Sponsored Content,356,39,2,2,0.88,5.13,9.19,4422,,,
2024-02-28,TikTok,Traffic,232,172,3,3,2.71,1.74,1.35,6336,tiktok_traffic_collection_95,Collection,Traffic - Collection 1
2024-02-28,TikTok,Traffic,241,177,4,4,2.36,2.26,1.36,7498,tiktok_traffic_image_36,Image,Traffic - Image 2
2024-02-28,Pinterest,Conversions,141,68,1,1,1.42,1.47,2.06,,pinterest_conversions_text_26,Text,Conversions - Text 1
2024-02-28,Pinterest,App Install,91,43,1,1,1.33,2.33,2.11,,pinterest_app_install_carousel_98,Carousel,App Install - Carousel 2
2024-02-28,Pinterest,Conversions,76,36,1,1,1.32,2.78,2.09,2721,,,
2024-02-29,Google Ads,Search - Generic,508,190,8,8,2.24,4.21,2.68,8495,googleads_search_-_generic_text_43,Text,Search - Generic - Text 1
2024-02-29,Google Ads,Display - Remarketing,383,112,3,3,1.91,2.68,3.41,5855,googleads_display_-_remarketing_text_87,Text,Display - Remarketing - Text 2
2024-02-29,Google Ads,Shopping,492,223,6,6,2.57,2.69,2.2,8688,googleads_shopping_image_43,Image,Shopping - Image 3
2024-02-29,Google Ads,Search - Generic,419,148,4,4,1.84,2.7,2.82,8032,googleads_search_-_generic_text_39,Text,Search - Generic - Text 4
2024-02-29,Facebook,Traffic,342,150,4,4,1.3,2.67,2.28,11545,facebook_traffic_collection_44,Collection,Traffic - Collection 1
2024-02-29,Facebook,Remarketing,236,66,1,1,1.03,1.52,3.55,6390,facebook_remarketing_text_55,Text,Remarketing - Text 2
2024-02-29,Facebook,Traffic,254,107,3,3,1.04,2.8,2.37,10304,facebook_traffic_video_95,Video,Traffic - Video 3
2024-02-29,LinkedIn,Dynamic Ads,189,18,1,1,0.7,5.56,10.68,2571,linkedin_dynamic_ads_collection_53,Collection,Dynamic Ads - Collection 1
2024-02-29,LinkedIn,Event Ads,297,38,2,2,0.88,5.26,7.85,4295,linkedin_event_ads_text_32,Text,Event Ads - Text 2
2024-02-29,LinkedIn,Text Ads,250,32,2,2,0.72,6.25,7.74,4446,linkedin_text_ads_text_22,Text,Text Ads - Text 3
2024-02-29,TikTok,Video Views,90,74,2,2,2.41,2.7,1.22,3071,,,
2024-02-29,TikTok,Conversions,114,69,2,2,2.5,2.9,1.65,2762,tiktok_conversions_collection_78,Collection,Conversions - Collection 2
2024-02-29,TikTok,App Install,143,101,2,2,3.07,1.98,1.41,3288,tiktok_app_install_text_95,Text,App Install - Text 3
2024-02-29,TikTok,Conversions,100,60,1,1,2.55,1.67,1.66,2350,tiktok_conversions_carousel_59,Carousel,Conversions - Carousel 4
2024-02-29,Pinterest,Conversions,80,35,1,1,1.19,2.86,2.28,2933,pinterest_conversions_text_34,Text,Conversions - Text 1
